stock_code,stock_name
7088.KL,POH HUAT RESOURCES HOLDINGS
8117.KL,POLY GLASS FIBRE (M) BHD
7175.KL,7175.KL
4634.KL,POS MALAYSIA BHD
4065.KL,PPB GROUP BHD
5117.KL,5117.KL
7190.KL,PELANGI PUBLISHING GROUP BHD
8273.KL,PUBLIC PACKAGES HOLDINGS BHD
8613.KL,ENRA GROUP BERHAD
9458.KL,PREMIER NALFIN BERHAD
9873.KL,PRESTAR RESOURCES BHD
0123.KL,PRIVASIA TECHNOLOGY BERHAD
8346.KL,PERAK CORPORATION BHD
8966.KL,PROLEXUS BHD
5304.KL,5304.KL
5070.KL,PROTASCO BHD
7145.KL,PRINSIPTEK CORPORATION BHD
5059.KL,5059.KL
9598.KL,PINTARAS JAYA BHD
0038.KL,PLASTRADE TECHNOLOGY BHD
2208.KL,PETALING TIN BHD
0007.KL,PUC FOUNDER (MSC) BHD
6807.KL,PUNCAK NIAGA HOLDINGS BHD
7134.KL,PWF CONSOLIDATED BERHAD
8419.KL,PANSAR BERHAD
7123.KL,PRICEWORTH INTERNATIONAL BHD
5123.KL,MRCB-QUILL REIT
7084.KL,QL RESOURCES BHD
9415.KL,9415.KL
7544.KL,QUALITY CONCRETE HOLDINGS BHD
7498.KL,RALCO CORPORATION BHD
7206.KL,TH HEAVY ENGINEERING BERHAD
5030.KL,5030.KL
7765.KL,RAPID SYNERGY BHD
9296.KL,RCE CAPITAL BHD
8087.KL,8087.KL
0032.KL,REDTONE INTERNATIONAL BHD
7232.KL,RESINTECH BHD
9946.KL,REX INDUSTRY BHD
0106.KL,REXIT BHD
1066.KL,RHB BANK BERHAD
7032.KL,7032.KL
8885.KL,RELIANCE PACIFIC BHD
5113.KL,RIMBUNAN SAWIT BHD
7803.KL,RUBBEREX CORPORATION (M) BHD
2542.KL,RIVERVIEW RUBBER ESTATES BHD
9652.KL,9652.KL
5134.KL,SOUTHERN ACIDS (M) BHD
8567.KL,SALCON BHD
5147.KL,SAMCHEM HOLDINGS BERHAD
7185.KL,KEJURUTERAAN SAMUDRA TIMUR BHD
9113.KL,SANBUMI HOLDINGS BHD
0133.KL,SANICHI TECHNOLOGY BHD
8575.KL,8575.KL
7811.KL,SAPURA INDUSTRIAL BHD
4596.KL,SAPURA RESOURCES BHD
7212.KL,DESTINI BERHAD
2569.KL,SUNGEI BAGAN RUBBER CO (M) BHD
5207.KL,SBC CORPORATION BHD
7247.KL,SCGM BHD
9237.KL,SARAWAK CONSOLIDATED IND BHD
0099.KL,SCICOM (MSC) BHD
4731.KL,SCIENTEX BERHAD
0135.KL,0135.KL
7239.KL,SCANWOLF CORPORATION BHD
7158.KL,SCOMI GROUP BHD
7366.KL,SCOMI ENGINEERING BHD
7045.KL,SCOMI ENERGY SERVICES BHD
0001.KL,SUPERCOMNET TECHNOLOGIES BHD
0028.KL,SCOPE INDUSTRIES BHD
2224.KL,SELANGOR DREDGING BHD
7073.KL,SEACERA GROUP BERHAD
4286.KL,SEAL INCORPORATED BHD
5145.KL,SEALINK INTERNATIONAL BHD
7053.KL,SEE HUP CONSOLIDATED BHD
9792.KL,SEG INTERNATIONAL BHD
7641.KL,7641.KL
7180.KL,SERN KOU RESOURCES BHD
0055.KL,SERSOL BERHAD
5517.KL,SHANGRI-LA HOTELS (M) BHD
4316.KL,SIN HENG CHAN (MALAYA) BHD
4324.KL,SHELL REFINING CO (F.O.M.) BHD
7412.KL,SHH RESOURCES HOLDINGS BHD
6017.KL,SHL CONSOLIDATED BHD
7246.KL,SIGNATURE INTERNATIONAL BHD
5078.KL,SILK HOLDINGS BERHAD
7136.KL,7136.KL
4197.KL,SIME DARBY BHD
5157.KL,SAUDEE GROUP BERHAD
6106.KL,6106.KL
8532.KL,SINOTOP HOLDINGS BERHAD
4359.KL,TURIYA BHD
9431.KL,SENI JAYA CORPORATION BHD
7115.KL,SKB SHUTTERS CORPORATION BHD
7155.KL,SKP RESOURCES BHD
8699.KL,8699.KL
7248.KL,SLP RESOURCES BHD
4375.KL,SOUTH MALAYSIA INDUSTRIES BHD
7132.KL,7132.KL
7099.KL,ATTA GLOBAL GROUP BERHAD
0117.KL,SMRT HOLDINGS BERHAD
0093.KL,SOLUTION ENGINEERING HOLDINGS
5126.KL,SARAWAK OIL PALMS BHD
1783.KL,SELANGOR PROPERTIES BHD
1813.KL,1813.KL
7103.KL,SPRITZER BHD
8664.KL,SP SETIA BHD
0129.KL,SILVER RIDGE HOLDINGS BHD
5665.KL,SOUTHERN STEEL BHD
9563.KL,9563.KL
6084.KL,STAR MEDIA GROUP BERHAD
5109.KL,YTL HOSPITALITY REIT
0137.KL,STEMLIFE BHD
7143.KL,STONE MASTER CORPORATION BHD
6904.KL,SUBUR TIASA HOLDINGS BHD
7207.KL,SUCCESS TRANSFORMER CORP BHD
9865.KL,SUIWAH CORPORATION BHD
1201.KL,SUMATEC RESOURCES BHD
6289.KL,6289.KL
7358.KL,7358.KL
6165.KL,6165.KL
4308.KL,4308.KL
0148.KL,SUNZEN BIOTECH BHD
8656.KL,8656.KL
7235.KL,SUPERLON HOLDINGS BHD
7106.KL,SUPERMAX CORPORATION BHD
7131.KL,ACME HOLDINGS BERHAD
6521.KL,SURIA CAPITAL HOLDINGS BHD
5119.KL,5119.KL
5135.KL,SARAWAK PLANTATION BHD
9717.KL,SYCAL VENTURES BHD
7082.KL,SYF RESOURCES BHD
0016.KL,0016.KL
4898.KL,TA ENTERPRISE BHD
5012.KL,TA ANN HOLDINGS BHD
7211.KL,TAFI INDUSTRIES BHD
5158.KL,TA GLOBAL BHD
2305.KL,TAHPS GROUP BHD
6139.KL,SYARIKAT TAKAFUL MALAYSIA BHD
7071.KL,O&C RESOURCES BERHAD
2259.KL,TALAM TRANSFORM BERHAD
8524.KL,TALIWORKS CORPORATION BHD
9474.KL,BRAHIMS HOLDINGS BERHAD
2429.KL,TANCO HOLDINGS BHD
2267.KL,2267.KL
5149.KL,TAS OFFSHORE BERHAD
5140.KL,TASCO BERHAD
4448.KL,TASEK CORPORATION BHD
7097.KL,TA WIN HOLDINGS BHD
4405.KL,TAN CHONG MOTOR HOLDINGS BHD
0062.KL,0062.KL
0132.KL,TECHNODEX BHD
2054.KL,TDM BHD
1589.KL,ISKANDAR WATERFRONT CITY BERHAD
0084.KL,TECHFAST HOLDINGS BHD
7439.KL,TECK GUAN PERDANA BHD
9741.KL,TECNIC GROUP BERHAD
0140.KL,STERLING PROGRESS BERHAD
6378.KL,TEKALA CORPORATION BHD
7200.KL,TEK SENG HOLDINGS BHD
5347.KL,TENAGA NASIONAL BHD
7252.KL,TEO SENG CAPITAL BHD
8702.KL,TEXCHEM RESOURCES BHD
0089.KL,TEX CYCLE TECHNOLOGY (M) BHD
0145.KL,TFP SOLUTIONS BHD
9369.KL,TEO GUAN LEE CORPORATION BHD
7228.KL,TANJUNG OFFSHORE BHD
7034.KL,THONG GUAN INDUSTRIES BHD
9075.KL,THETA EDGE BERHAD
5112.KL,TH PLANTATIONS BHD
7374.KL,TIEN WAH PRESS HOLDINGS BHD
4456.KL,DAGANG NEXCHANGE BERHAD
5031.KL,TIME DOTCOM BHD
7854.KL,7854.KL
5103.KL,5103.KL
4863.KL,TELEKOM MALAYSIA BHD
0101.KL,TMC LIFE SCIENCES BHD
0060.KL,SKH CONSORTIUM BERHAD
8397.KL,TIONG NAM LOGISTICS HOLDINGS
7218.KL,TRANSOCEAN HOLDINGS BHD
7230.KL,TOMEI CONSOLIDATED BHD
7285.KL,TOMYPAK HOLDINGS BHD
5010.KL,TONG HERR RESOURCES BHD
7113.KL,TOP GLOVE CORPORATION BHD
7173.KL,TOYO INK GROUP BHD
7176.KL,TPC PLUS BHD
7147.KL,7147.KL
7000.KL,7000.KL
5054.KL,TRC SYNERGY BHD
5622.KL,TRIPLC BHD
9911.KL,9911.KL
9059.KL,TSH RESOURCES BHD
8842.KL,8842.KL
5042.KL,TSR CAPITAL BHD
5711.KL,THE STORE CORPORATION BHD
5167.KL,TURBO-MECH BERHAD
5111.KL,TOWER REITS
4421.KL,4421.KL
4804.KL,4804.KL
6327.KL,6327.KL
4537.KL,4537.KL
9687.KL,IDEAL UNITED BINTANG BHD
6831.KL,6831.KL
7100.KL,UCHI TECHNOLOGIES BHD
7186.KL,SWS CAPITAL BERHAD
5148.KL,UEM SUNRISE BERHAD
7127.KL,7127.KL
7133.KL,UNITED U-LI CORPORATION BHD
2593.KL,UNITED MALACCA BHD
4561.KL,4561.KL
7137.KL,UMS HOLDINGS BHD
7227.KL,UMS-NEIKEN GROUP BHD
4588.KL,UMW HOLDINGS BHD
5019.KL,5019.KL
7091.KL,UNIMECH GROUP BHD
5005.KL,UNISEM (M) BHD
5110.KL,UOA REITS
7757.KL,UPA CORPORATION BHD
2089.KL,UNITED PLANTATIONS BHD
5754.KL,UTUSAN MELAYU (M) BHD
7250.KL,UZMA BHD
7251.KL,BARAKAH OFFSHORE PETROLEUM BHD
4995.KL,VERSATILE CREATIVE BHD
7595.KL,ML GLOBAL BERHAD
0120.KL,VISDYNAMICS HOLDINGS BHD
0097.KL,VITROX CORPORATION BHD
0050.KL,SYSTECH BHD
7240.KL,VOIR HOLDINGS BHD
6963.KL,V.S INDUSTRY BHD
7203.KL,7203.KL
5016.KL,WARISAN TC HOLDINGS BHD
5142.KL,WAH SEONG CORPORATION BHD
7226.KL,WATTA HOLDING BHD
9679.KL,WCT HOLDINGS BERHAD
7111.KL,WEIDA (M) BHD
7231.KL,WELLCALL HOLDINGS BHD
7692.KL,WIDETECH (M) BHD
4022.KL,TADMAX RESOURCES BERHAD
0008.KL,WILLOWGLEN MSC BHD
0141.KL,0141.KL
7050.KL,WONG ENGINEERING CORPORATION
7025.KL,WOODLANDOR HOLDINGS BHD
5009.KL,WHITE HORSE BHD
4243.KL,WTK HOLDINGS BHD
7587.KL,7587.KL
7039.KL,7039.KL
8818.KL,8818.KL
7245.KL,WZ SATU BERHAD
5156.KL,XIDELANG HOLDINGS LTD
7121.KL,XIAN LENG HOLDINGS BHD
5155.KL,XINGQUAN INT SPORTS HLDG LTD
7003.KL,Y&G CORPORATION BHD
7196.KL,7196.KL
5584.KL,YEE LEE CORPORATION BHD
7184.KL,YEN GLOBAL BERHAD
0086.KL,YGL CONVERGENCE BHD
4642.KL,4642.KL
7139.KL,NICHE CAPITAL EMAS HLDG BHD
5048.KL,YI-LAI BHD
7293.KL,YINSON HOLDINGS BHD
7014.KL,YLI HOLDINGS BHD
3158.KL,YNH PROPERTY BHD
5159.KL,YOONG ONN CORPORATION BERHAD
9849.KL,9849.KL
7066.KL,YONG TAI BHD
7178.KL,Y.S.P.SOUTHEAST ASIA HOLDING
4677.KL,YTL CORPORATION BHD
8737.KL,8737.KL
0009.KL,0009.KL
2577.KL,YTL LAND & DEVELOPMENT BHD
6742.KL,YTL POWER INTERNATIONAL BHD
7020.KL,YKGI HOLDINGS BERHAD
7028.KL,ZECON BHD
2283.KL,ZELAN BHD
5131.KL,ZHULIAN CORPORATION BHD
4073.KL,4073.KL
5452.KL,5452.KL
2356.KL,2356.KL
8257.KL,8257.KL
5166.KL,ASIAMET EDUCATION GROUP BERHAD
5163.KL,SEREMBAN ENGINEERING BERHAD
5170.KL,SARAWAK CABLE BERHAD
5172.KL,K-STAR SPORTS LIMITED
5173.KL,SHIN YANG SHIPPING CORP BHD
5171.KL,KIMLUN CORPORATION BERHAD
5176.KL,SUNWAY REAL ESTATE INVT TRUST
5180.KL,CAPITALAND MALAYSIA MALL TRUST
0154.KL,EA HOLDINGS BERHAD
5178.KL,TATT GIAP GROUP BERHAD
5175.KL,IVORY PROPERTIES GROUP BERHAD
0158.KL,SCC HOLDINGS BERHAD
5181.KL,SIG GASES BERHAD
5179.KL,5179.KL
0157.KL,FOCUS POINT HOLDINGS BERHAD
0155.KL,MSIAN GENOMICS RES CENTRE BHD
0156.KL,MANAGEPAY SYSTEMS BERHAD
0159.KL,ASIA MEDIA GROUP BERHAD
0163.KL,CAREPLUS GROUP BERHAD
0169.KL,SMTRACK BERHAD
5182.KL,MCT BERHAD
5183.KL,PETRONAS CHEMICALS GROUP BHD
5184.KL,CYPARK RESOURCES BERHAD
5186.KL,MALAYSIA MARINE AND HEAVY ENG
5187.KL,HB GLOBAL LIMITED
5188.KL,CHINA OUHUA WINERY HLDGS LTD
5189.KL,MAXWELL INT HOLDINGS BERHAD
5190.KL,BENALEC HOLDINGS BERHAD
5191.KL,TAMBUN INDAH LAND BERHAD
5192.KL,K. SENG SENG CORPORATION BHD
5194.KL,APFT BERHAD
5195.KL,CENSOF HOLDINGS BERHAD
5196.KL,BERJAYA FOOD BERHAD
5197.KL,FOCUS LUMBER BERHAD
0162.KL,IDEAL JACOBS (M) CORPORATION B
0167.KL,MCLEAN TECHNOLOGIES BERHAD
0168.KL,BOILERMECH HOLDINGS BHD
7054.KL,ASTRAL ASIA BHD
5200.KL,UOA DEVELOPMENT BERHAD
0165.KL,XOX BHD
5202.KL,MSM MALAYSIA HOLDINGS BERHAD
5205.KL,EVERSENDAI CORPORATION BERHAD
5204.KL,PRESTARIANG BERHAD
5201.KL,OLDTOWN BERHAD
0166.KL,INARI AMERTRON BERHAD
5210.KL,BUMI ARMADA BERHAD
0173.KL,REV ASIA BERHAD
5199.KL,HIBISCUS PETROLEUM BHD
0171.KL,PETERLABS HOLDINGS BHD
5211.KL,SUNWAY BERHAD
0174.KL,iDIMENSION CONSOLIDATED BHD
5212.KL,PAVILION REAL ESTATE INV TRUST
5213.KL,SENTORIA GROUP BERHAD
5214.KL,CHINA STATIONERY LIMITED
5208.KL,EITA RESOURCES BERHAD
5218.KL,SAPURAKENCANA PETROLEUM BHD
5219.KL,PESTECH INTERNATIONAL BERHAD
5220.KL,GLOBALTEC FORMATION BERHAD
5209.KL,GAS MALAYSIA BERHAD
5222.KL,FELDA GLOBAL VENTURES HLDG BHD
0172.KL,OCK GROUP BERHAD
5225.KL,IHH HEALTHCARE BERHAD
5226.KL,GABUNGAN AQRS BERHAD
0177.KL,PASUKHAS GROUP BERHAD
5216.KL,DATASONIC GROUP BERHAD
5227.KL,IGB REAL ESTATE INV TRUST
5398WD.KL,5398WD.KL
5071WA.KL,5071WA.KL
5249.KL,IOI PROPERTIES GROUP BERHAD
6742WB.KL,YTL POWER INT BHD 08/18-WB
5243.KL,UMW OIL & GAS CORPORATION BHD
5248.KL,BERMAZ AUTO BERHAD
5171WA.KL,N/A
5191WA.KL,TAMBUN INDAH LAND- WARR 12/17
3174LA.KL,LAND & GENERAL BHD-ICULS 13/18
5254.KL,BOUSTEAD PLANTATIONS BHD
5255.KL,ICON OFFSHORE BERHAD
5256.KL,REACH ENERGY BHD
5247.KL,KAREX BERHAD
8869CA.KL,8869CA.KL
5248CB.KL,5248CB.KL
7213WB.KL,HOVID BERHAD-WB 2013/2018
7252WA.KL,N/A
3379WB.KL,N/A
