stock_code,stock_name
5094.KL,CSC STEEL HOLDINGS BERHAD
0051.KL,CUSCAPI BHD
5049.KL,COUNTRY VIEW BHD
0079.KL,ORION IXL BERHAD
0022.KL,0022.KL
7157.KL,CYL CORPORATION BHD
5082.KL,CYMAO HOLDINGS BHD
7204.KL,D&O GREEN TECHNOLOGIES BERHAD
8125.KL,DAIBOCHI PLASTIC & PACKAGING
5355.KL,DAIMAN DEVELOPMENT BHD
8338.KL,DATAPREP HOLDINGS BHD
0091.KL,DAYA MATERIALS BHD
5141.KL,DAYANG ENTERPRISE HOLDINGS BHD
7179.KL,D.B.E. GURNEY RESOURCES BHD
3484.KL,DAMANSARA REALTY BHD
7119.KL,DEGEM BHD
5132.KL,DELEUM BHD
6505.KL,6505.KL
8176.KL,DENKO INDUSTRIAL CORPORATION
5177.KL,5177.KL
0037.KL,RGB INTERNATIONAL BHD
7277.KL,DIALOG GROUP BHD
6947.KL,DIGI.COM BHD
0029.KL,DIGISTAR CORPORATION BHD
5401.KL,TROPICANA CORPORATION BERHAD
0006.KL,PINEAPPLE RESOURCES BHD
7528.KL,DKLS INDUSTRIES BHD
5908.KL,DKSH HOLDINGS(M)BHD
3026.KL,DUTCH LADY MILK INDUSTRIES BHD
7114.KL,DNONCE TECHNOLOGY BHD
2976.KL,WING TAI MALAYSIA BERHAD
5835.KL,DOLOMITE CORPORATION BHD
7169.KL,DOMINANT ENTERPRISE BHD
7198.KL,DPS RESOURCES BHD
1619.KL,DRB-HICOM BHD
0152.KL,DGB ASIA BERHAD
7233.KL,DUFU TECHNOLOGY CORP. BHD
3948.KL,DUTALAND BHD
0036.KL,KEY ALLIANCE GROUP BERHAD
5074.KL,5074.KL
3417.KL,EASTERN & ORIENTAL BHD
0030.KL,0030.KL
2143.KL,ECM LIBRA FINANCIAL GRP BHD
3557.KL,ECOFIRST CONSOLIDATED BHD
5162.KL,ECS ICT BERHAD
5036.KL,EDARAN BHD
7471.KL,EDEN INC. BHD
0107.KL,EDUSPEC HOLDINGS BERHAD
0064.KL,EFFICIENT E-SOLUTIONS BHD
0065.KL,EXCEL FORCE MSC BHD
0067.KL,0067.KL
8907.KL,EG INDUSTRIES BHD
5081.KL,ESTHETICS INTERNATIONAL GROUP
7189.KL,MB WORLD GROUP BERHAD
8877.KL,EKOVEST BHD
5091.KL,EKOWOOD INTERNATIONAL BHD
9016.KL,EKSONS CORPORATION BHD
0090.KL,ELSOFT RESEARCH BHD
7217.KL,EONMETALL GROUP BHD
9091.KL,EMICO HOLDINGS BHD
7125.KL,7125.KL
6076.KL,ENCORP BHD
8826.KL,8826.KL
7149.KL,ENG KAH CORPORATION BHD
5056.KL,ENGTEX GROUP BHD
0080.KL,RAYA INTERNATIONAL BERHAD
5266.KL,5266.KL
8265.KL,8265.KL
7773.KL,EP MANUFACTURING BHD
0081.KL,MEGA SUN CITY HOLDINGS BERHAD
1147.KL,GLOBAL ORIENTAL BERHAD
0100.KL,ES CERAMICS TECHNOLOGY BHD
3042.KL,PETRON MSIA REFINING& MKTG BHD
0118.KL,TRIVE PROPERTY GROUP BERHAD
6815.KL,EUPE CORPORATION BHD
7208.KL,EURO HOLDINGS BHD
7094.KL,EUROSPAN HOLDINGS BHD
5101.KL,EVERGREEN FIBREBOARD BHD
7552.KL,7552.KL
7249.KL,EWEIN BERHAD
0119.KL,APPASIA BERHAD
3689.KL,FRASER & NEAVE HOLDINGS BHD
1368.KL,UEM EDGENTA BERHAD
2984.KL,FACB INDUSTRIES INCORPORATED
7047.KL,FAJARBARU BUILDER GRP BHD
5029.KL,FAR EAST HOLDINGS BHD
6041.KL,FARLIM GROUP (M) BHD
9776.KL,FARMS BEST BHD
0066.KL,VSOLAR GROUP BERHAD
7229.KL,FAVELLE FAVCO BHD
2097.KL,EASTLAND EQUITY BHD
2755.KL,FCW HOLDINGS BHD
8605.KL,FEDERAL FURNITURE HOLDINGS (M)
6939.KL,FIAMMA HOLDINGS BHD
0149.KL,FIBON BERHAD
3107.KL,FIMA CORPORATION BHD
9318.KL,FITTERS DIVERSIFIED BHD
0109.KL,SC ESTATE BUILDER BERHAD
8206.KL,ECO WORLD DEVELOPMENT GROUP BER
0116.KL,FOCUS DYNAMICS GROUP BERHAD
0071.KL,0071.KL
9172.KL,FORMOSA PROSONIC INDUSTRIES
9008.KL,OMESTI BHD
7210.KL,FREIGHT MANAGEMENT HLDGS BHD
0128.KL,FRONTKEN CORPORATION BHD
9377.KL,FSBM HOLDINGS BHD
7168.KL,PRG HOLDINGS BERHAD
7161.KL,KERJAYA PROSPEK GROUP BERHAD
3255.KL,HEINEKEN MALAYSIA BERHAD
9261.KL,GADANG HOLDINGS BHD
5398.KL,GAMUDA BHD
3611.KL,GOH BAN HUAT BHD
5592.KL,GRAND CENTRAL ENTERPRISES BHD
0078.KL,GD EXPRESS CARRIER BHD
7086.KL,ABLEGROUP BERHAD
0104.KL,GENETEC TECHNOLOGY BERHAD
4715.KL,GENTING MALAYSIA BERHAD
2291.KL,GENTING PLANTATIONS BERHAD
3182.KL,GENTING BHD
7197.KL,GE-SHEN CORPORATION BHD
8281.KL,8281.KL
0021.KL,GHL SYSTEMS BHD
3204.KL,GEORGE KENT (M) BHD
7382.KL,GOLDEN LAND BERHAD
7242.KL,7242.KL
5020.KL,GLOMAC BHD
9962.KL,GROMUTUAL BHD
2372.KL,2372.KL
0074.KL,GREEN OCEAN CORPORATION BERHAD
5606.KL,GOLDIS BHD
7105.KL,HCK CAPITAL GROUP BERHAD
